subject,exam_type,question,option_a,option_b,option_c,option_d,correct_answer,explanation,year
Physics,WAEC,Two bodies of masses 3.0 kg and 2.0 kg are separated by a distance of 50 cm. Calculate the force of attraction between them (G = 6.67×10⁻¹¹ Nm² kg⁻²),1.6×10⁻⁹ N,1.3×10⁹ N,2.3×10⁻³ N,5.0×10⁻¹⁰ N,A,,2019
Physics,NECO,Two bodies of masses 3.0 kg and 2.0 kg are separated by a distance of 50 cm. Calculate the force of attraction between them (G = 6.67×10⁻¹¹ Nm² kg⁻²),1.6×10⁻⁹ N,1.3×10⁹ N,2.3×10⁻³ N,5.0×10⁻¹⁰ N,A,,2019
Physics,WAEC,"In the diagram, the object moves in a circular path at constant speed. Which arrow indicates the direction of linear velocity?",Z,X,Y,W,C,,2019
Physics,NECO,"In the diagram, the object moves in a circular path at constant speed. Which arrow indicates the direction of linear velocity?",Z,X,Y,W,C,,2019
Physics,WAEC,Which of the following thermometers is used to measure the temperature of the human body?,Thermocouple,Alcohol-in-glass thermometer,Gas thermometer,Platinum resistance thermometer,B,,2019
Physics,NECO,Which of the following thermometers is used to measure the temperature of the human body?,Thermocouple,Alcohol-in-glass thermometer,Gas thermometer,Platinum resistance thermometer,B,,2019
Physics,WAEC,"In the diagram, the time taken to trace a wave between P and Q is",2 periods,1 period,½ periods,¼ periods,C,,2019
Physics,NECO,"In the diagram, the time taken to trace a wave between P and Q is",2 periods,1 period,½ periods,¼ periods,C,,2019
Physics,WAEC,Which of the following materials does NOT serve as a safety device in electrical circuits?,Connecting wires,Fuse,Earth wire,Switch,A,,2019
Physics,NECO,Which of the following materials does NOT serve as a safety device in electrical circuits?,Connecting wires,Fuse,Earth wire,Switch,A,,2019
Physics,WAEC,Which of the following liquids has the highest surface tension?,soapy water,cold water,hot water,oily water,B,,2019
Physics,NECO,Which of the following liquids has the highest surface tension?,soapy water,cold water,hot water,oily water,B,,2019
Physics,WAEC,The nucleon and proton numbers of a neutral atom of an element are 238 and 92 respectively. Determine the number of neutrons in the atom,119,330,165,146,D,,2019
Physics,NECO,The nucleon and proton numbers of a neutral atom of an element are 238 and 92 respectively. Determine the number of neutrons in the atom,119,330,165,146,D,,2019
Physics,WAEC,An instrument used to measure relative humidity,hygrometer,hydrometer,pyrometer,manometer,A,,2019
Physics,NECO,An instrument used to measure relative humidity,hygrometer,hydrometer,pyrometer,manometer,A,,2019
Physics,WAEC,The area under a velocity-time graph represents,speed,acceleration,moment,distance,D,,2019
Physics,NECO,The area under a velocity-time graph represents,speed,acceleration,moment,distance,D,,2019
Physics,WAEC,Which statements about a neutral atom are correct?,core is composed of electrons and protons,number of electrons equals that of neutrons,number of neutrons equals that of protons,number of protons equals that of electrons,D,,2019
Physics,NECO,Which statements about a neutral atom are correct?,core is composed of electrons and protons,number of electrons equals that of neutrons,number of neutrons equals that of protons,number of protons equals that of electrons,D,,2019
Physics,WAEC,Which properties are NOT exhibited by sound waves?,diffraction,polarization,interference,reflection,B,,2019
Physics,NECO,Which properties are NOT exhibited by sound waves?,diffraction,polarization,interference,reflection,B,,2019
Physics,WAEC,"When ultraviolet light is incident on certain metallic surfaces, particles emitted are called",positrons,protons,photoelectrons,photons,C,,2019
Physics,NECO,"When ultraviolet light is incident on certain metallic surfaces, particles emitted are called",positrons,protons,photoelectrons,photons,C,,2019
Physics,WAEC,Niels Bohr concluded about the structure of the atom. Which statement is correct?,The allowed orbits contain the same number of electrons,"Within an atom, certain allowed orbits exist",All orbits represent the same amount of energy,The orbit with least energy is farthest from the nucleus,B,,2019
Physics,NECO,Niels Bohr concluded about the structure of the atom. Which statement is correct?,The allowed orbits contain the same number of electrons,"Within an atom, certain allowed orbits exist",All orbits represent the same amount of energy,The orbit with least energy is farthest from the nucleus,B,,2019
Physics,WAEC,The graph above illustrates the variation of temperature θ with time t for a solid being heated. Which processes take place at segments P and Q respectively?,"Freezing, vaporization and solidification, evaporation and boiling","condensation, melting","evaporation, boiling","condensation, solidification",A,,2019
Physics,NECO,The graph above illustrates the variation of temperature θ with time t for a solid being heated. Which processes take place at segments P and Q respectively?,"Freezing, vaporization and solidification, evaporation and boiling","condensation, melting","evaporation, boiling","condensation, solidification",A,,2019
Physics,WAEC,"In a collision between two objects, kinetic energy is conserved only if",one of the objects was initially at rest,potential energy is converted to work,the collision is inelastic,the collision is elastic,D,,2020
Physics,NECO,"In a collision between two objects, kinetic energy is conserved only if",one of the objects was initially at rest,potential energy is converted to work,the collision is inelastic,the collision is elastic,D,,2020
Physics,WAEC,The quantity of motion of a body is its,acceleration,displacement,momentum,velocity,C,,2020
Physics,NECO,The quantity of motion of a body is its,acceleration,displacement,momentum,velocity,C,,2020
Physics,WAEC,The volume of a fixed mass of gas varies inversely as the pressure on it provided the temperature is constant. This statement is,Pressure law,Boyle's law,Charles' law,General gas law,B,,2020
Physics,NECO,The volume of a fixed mass of gas varies inversely as the pressure on it provided the temperature is constant. This statement is,Pressure law,Boyle's law,Charles' law,General gas law,B,,2020
Physics,WAEC,An image formed on a screen is always,inverted,magnified,upright,virtual,A,,2020
Physics,NECO,An image formed on a screen is always,inverted,magnified,upright,virtual,A,,2020
Physics,WAEC,How would the capacitance of a parallel plate capacitor be affected if the distance of separation of its plates is decreased?,It will increase in value,decrease slightly,remain unchanged,drop to zero,A,,2020
Physics,NECO,How would the capacitance of a parallel plate capacitor be affected if the distance of separation of its plates is decreased?,It will increase in value,decrease slightly,remain unchanged,drop to zero,A,,2020
Physics,WAEC,Which of the following machines does NOT apply the lever principle?,Claw hammer,Wheel barrow,Single pulley,Sugar tong,C,,2020
Physics,NECO,Which of the following machines does NOT apply the lever principle?,Claw hammer,Wheel barrow,Single pulley,Sugar tong,C,,2020
Physics,WAEC,The average distance moved by a molecule between collisions is called,molecular distance,intermolecular distance,mean distance,mean free path,D,,2020
Physics,NECO,The average distance moved by a molecule between collisions is called,molecular distance,intermolecular distance,mean distance,mean free path,D,,2020
Physics,WAEC,Which of the following waves requires a material medium for its propagation?,Radio waves,Light waves,Sound waves,X-rays,C,,2020
Physics,NECO,Which of the following waves requires a material medium for its propagation?,Radio waves,Light waves,Sound waves,X-rays,C,,2020
Physics,WAEC,The depolarizing agent in a Leclanché cell is,carbon rod,manganese (IV) oxide,ammonium chloride,zinc plate,B,,2020
Physics,NECO,The depolarizing agent in a Leclanché cell is,carbon rod,manganese (IV) oxide,ammonium chloride,zinc plate,B,,2020
Physics,WAEC,The material used to slow down the neutrons in a nuclear reactor is,boron,copper,graphite,uranium,C,,2020
Physics,NECO,The material used to slow down the neutrons in a nuclear reactor is,boron,copper,graphite,uranium,C,,2020
Physics,WAEC,Which statement explains why hot soapy water is more effective in cleaning oil-stained dishes?,The oil on the dishes repels the soap,Soap and heat decrease the surface tension of water,Hot water increases the surface tension of oil,Soap increases the surface tension of oil and water,B,,2020
Physics,NECO,Which statement explains why hot soapy water is more effective in cleaning oil-stained dishes?,The oil on the dishes repels the soap,Soap and heat decrease the surface tension of water,Hot water increases the surface tension of oil,Soap increases the surface tension of oil and water,B,,2020
Physics,WAEC,"The diagram illustrates a beam of parallel rays from a distant object O, incident on one side of a total reflecting prism. Which diagram does NOT represent the correct path of the beam when it emerges from the prism?",A. W,B. X,C. Y,D. Z,D,,2020
Physics,NECO,"The diagram illustrates a beam of parallel rays from a distant object O, incident on one side of a total reflecting prism. Which diagram does NOT represent the correct path of the beam when it emerges from the prism?",A. W,B. X,C. Y,D. Z,D,,2020
Physics,WAEC,An electrical device has 50 turns in its primary coil and 20 turns in the secondary coil. The device can be a/an,step-up transformer,step-down transformer,d.c. generator,a.c. generator,B,,2020
Physics,NECO,An electrical device has 50 turns in its primary coil and 20 turns in the secondary coil. The device can be a/an,step-up transformer,step-down transformer,d.c. generator,a.c. generator,B,,2020
Physics,WAEC,The earpiece of a telephone handset converts energy from,A. electrical to sound,B. sound to electrical,C. radio wave to sound,D. sound to radio wave,A,,2020
Physics,NECO,The earpiece of a telephone handset converts energy from,A. electrical to sound,B. sound to electrical,C. radio wave to sound,D. sound to radio wave,A,,2020
Physics,WAEC,Two identical cups containing the same volume of water at 45°C and 5°C are left in a room at 25°C. Which graph correctly illustrates the variation of temperature with time?,Graph A,Graph B,Graph C,Graph D,A,,2020
Physics,NECO,Two identical cups containing the same volume of water at 45°C and 5°C are left in a room at 25°C. Which graph correctly illustrates the variation of temperature with time?,Graph A,Graph B,Graph C,Graph D,A,,2020
Physics,WAEC,"A ray of light travelling from glass into ethyl alcohol is incident at the boundary at an angle of incidence of 30°. Calculate the angle of refraction (Refractive index of glass = 1.5, refractive index of ethyl alcohol = 1.36)",27.00°,33.50°,51.70°,72.80°,B,,2020
Physics,NECO,"A ray of light travelling from glass into ethyl alcohol is incident at the boundary at an angle of incidence of 30°. Calculate the angle of refraction (Refractive index of glass = 1.5, refractive index of ethyl alcohol = 1.36)",27.00°,33.50°,51.70°,72.80°,B,,2020
Physics,WAEC,"A 60 kg man stands on a weighing balance in an elevator. If the elevator accelerates upwards at 5 ms⁻², determine the reading of the scale (g = 10 ms⁻²)",100 N,300 N,600 N,900 N,D,,2020
Physics,NECO,"A 60 kg man stands on a weighing balance in an elevator. If the elevator accelerates upwards at 5 ms⁻², determine the reading of the scale (g = 10 ms⁻²)",100 N,300 N,600 N,900 N,D,,2020
Physics,WAEC,The length of an iron bar is 100 cm at 20°C. At what temperature will its length increase by 0.01%? (Linear expansivity of iron = 1.2×10⁻⁵ °C⁻¹),44.0°C,B. 38.0°C,C. 28.3°C,D. 23.0°C,C,,2020
Physics,NECO,The length of an iron bar is 100 cm at 20°C. At what temperature will its length increase by 0.01%? (Linear expansivity of iron = 1.2×10⁻⁵ °C⁻¹),44.0°C,B. 38.0°C,C. 28.3°C,D. 23.0°C,C,,2020
Physics,WAEC,A moving-coil galvanometer which gives full-scale deflection with 0.005 A is converted to a voltmeter reading up to 5V using an external resistance of 975Ω. What is the resistance of the metre?,0.25Ω,2.50Ω,25.00Ω,250.00Ω,C,,2020
Physics,NECO,A moving-coil galvanometer which gives full-scale deflection with 0.005 A is converted to a voltmeter reading up to 5V using an external resistance of 975Ω. What is the resistance of the metre?,0.25Ω,2.50Ω,25.00Ω,250.00Ω,C,,2020
Physics,WAEC,"A beam consisting of α-particles, β-particles and γ-rays pass through a magnetic field at right angles to the direction of the field. Which of the following observations would be made about the α-particles, β-particles and γ-rays respectively?","Deflected, deflected, deflected","Deflected, not deflected, deflected","Not deflected, deflected, deflected","Deflected, deflected, not deflected",D,,2020
Physics,NECO,"A beam consisting of α-particles, β-particles and γ-rays pass through a magnetic field at right angles to the direction of the field. Which of the following observations would be made about the α-particles, β-particles and γ-rays respectively?","Deflected, deflected, deflected","Deflected, not deflected, deflected","Not deflected, deflected, deflected","Deflected, deflected, not deflected",D,,2020
Physics,WAEC,"A parallel plate capacitor is charged and the charging battery subsequently disconnected. If the plates are moved farther apart by means of insulating handles, the capacitance would",increase,decrease,remain constant,and charge on capacitor would decrease,B,,2020
Physics,NECO,"A parallel plate capacitor is charged and the charging battery subsequently disconnected. If the plates are moved farther apart by means of insulating handles, the capacitance would",increase,decrease,remain constant,and charge on capacitor would decrease,B,,2020
Physics,WAEC,The velocity of sound in air at 15°C is 340 ms⁻¹. Calculate the velocity at 47°C,790 ms⁻¹,358 ms⁻¹,607 ms⁻¹,322 ms⁻¹,C,,2020
Physics,NECO,The velocity of sound in air at 15°C is 340 ms⁻¹. Calculate the velocity at 47°C,790 ms⁻¹,358 ms⁻¹,607 ms⁻¹,322 ms⁻¹,C,,2020
Physics,WAEC,Which characteristics shown by an ohmic conductor?,Graph A,Graph B,Graph C,Graph D,B,,2020
Physics,NECO,Which characteristics shown by an ohmic conductor?,Graph A,Graph B,Graph C,Graph D,B,,2020
Physics,WAEC,"A 500 N box rests on a horizontal floor. A constant horizontal force is exerted on the box so that it moves through 8 m. If the coefficient of kinetic friction between the floor and the box is 0.22, calculate the work done on the box",550 J,440 J,C. 440 J,1100 J,B,,2020
Physics,NECO,"A 500 N box rests on a horizontal floor. A constant horizontal force is exerted on the box so that it moves through 8 m. If the coefficient of kinetic friction between the floor and the box is 0.22, calculate the work done on the box",550 J,440 J,C. 440 J,1100 J,B,,2020
Physics,WAEC,The normal force on the ball is,mg sin θ,mg tan θ,mg cos θ,mg cot θ,C,,2020
Physics,NECO,The normal force on the ball is,mg sin θ,mg tan θ,mg cos θ,mg cot θ,C,,2020
Physics,WAEC,The net force on the ball along the plank is,mg sin θ + F,F – mg cos θ,mg sin θ – F,F + mg cos θ,C,,2020
Physics,NECO,The net force on the ball along the plank is,mg sin θ + F,F – mg cos θ,mg sin θ – F,F + mg cos θ,C,,2020
Physics,WAEC,What factors determine the frequency of a note emitted by a vibrating string?,"Amplitude of vibration, length and tension force constant","Amplitude of vibration, mass per unit length and tension","Mass per unit length, tension and length of string","Force constant of string, tension and length of string",C,,2020
Physics,NECO,What factors determine the frequency of a note emitted by a vibrating string?,"Amplitude of vibration, length and tension force constant","Amplitude of vibration, mass per unit length and tension","Mass per unit length, tension and length of string","Force constant of string, tension and length of string",C,,2020
Physics,WAEC,The magnitude of the force experienced by a charge of 1.6×10⁻⁸ C in a uniform electric field of intensity 5×10⁵ NC⁻¹ is,3.2×10⁻¹⁴ N,8.0×10⁻³ N,3.2×10³ N,1.3×10¹³ N,B,,2020
Physics,NECO,The magnitude of the force experienced by a charge of 1.6×10⁻⁸ C in a uniform electric field of intensity 5×10⁵ NC⁻¹ is,3.2×10⁻¹⁴ N,8.0×10⁻³ N,3.2×10³ N,1.3×10¹³ N,B,,2020
Physics,WAEC,Which of the following statements about viscosity is NOT true?,It depends on areas of the surfaces in contact,It occurs in fluids,It is independent of the relative velocity of the layers,It depends on the tangential force between the layers,C,,2020
Physics,NECO,Which of the following statements about viscosity is NOT true?,It depends on areas of the surfaces in contact,It occurs in fluids,It is independent of the relative velocity of the layers,It depends on the tangential force between the layers,C,,2020
Physics,WAEC,A motorcycle starting from rest is uniformly accelerated such that its velocity in 10 s is 72 km/hr. What is its acceleration?,10⁸ ms⁻²,4 ms⁻²,2 ms⁻²,C. 2 ms⁻²,C,,2020
Physics,NECO,A motorcycle starting from rest is uniformly accelerated such that its velocity in 10 s is 72 km/hr. What is its acceleration?,10⁸ ms⁻²,4 ms⁻²,2 ms⁻²,C. 2 ms⁻²,C,,2020
Physics,WAEC,The temperature of an object is raised by 120°C. The resulting increase in its absolute temperature is,50 K,120 K,200 K,393 K,B,,2020
Physics,NECO,The temperature of an object is raised by 120°C. The resulting increase in its absolute temperature is,50 K,120 K,200 K,393 K,B,,2020
Physics,WAEC,Which statements about the motion of a simple pendulum are true?,It is simple harmonic when angle of displacement is large,It passes equilibrium position with minimum speed,It possesses maximum kinetic energy at extreme positions,It swings faster at the poles than at the equator,D,,2020
Physics,NECO,Which statements about the motion of a simple pendulum are true?,It is simple harmonic when angle of displacement is large,It passes equilibrium position with minimum speed,It possesses maximum kinetic energy at extreme positions,It swings faster at the poles than at the equator,D,,2020
Physics,WAEC,An electron of mass m and charge e moves in a circular path in a magnetic field of flux density B. How long does it take to complete one orbit?,2me/Bπ,2B/meπ,2πm/Be,D. Be/2πm,C,,2020
Physics,NECO,An electron of mass m and charge e moves in a circular path in a magnetic field of flux density B. How long does it take to complete one orbit?,2me/Bπ,2B/meπ,2πm/Be,D. Be/2πm,C,,2020
Physics,WAEC,Which of the following statements about photoelectrons is correct?,A faint green light produces photoelectrons with less kinetic energy than a bright red light,A red light releases smaller number of electrons than a green light,A faint green light produces photoelectrons with greater kinetic energy than a bright red light,A red light produces more photoelectrons than a green light,C,,2020
Physics,NECO,Which of the following statements about photoelectrons is correct?,A faint green light produces photoelectrons with less kinetic energy than a bright red light,A red light releases smaller number of electrons than a green light,A faint green light produces photoelectrons with greater kinetic energy than a bright red light,A red light produces more photoelectrons than a green light,C,,2020
Physics,WAEC,The sketched graph illustrates the heating curve of a 0.02 kg of water. Determine the approximate value of the specific latent heat of vaporization of water,2.25×10⁶ Jkg⁻¹,4.17×10³ Jkg⁻¹,2.00×10³ Jkg⁻¹,1.00×10³ Jkg⁻¹,A,,2020
Physics,NECO,The sketched graph illustrates the heating curve of a 0.02 kg of water. Determine the approximate value of the specific latent heat of vaporization of water,2.25×10⁶ Jkg⁻¹,4.17×10³ Jkg⁻¹,2.00×10³ Jkg⁻¹,1.00×10³ Jkg⁻¹,A,,2020
Physics,WAEC,"In the hydraulic press, the force F applied is related to the diameter d of the cylinder by",F α d²,F α d,F α d⁻¹,D. F α d⁻²,A,,2020
Physics,NECO,"In the hydraulic press, the force F applied is related to the diameter d of the cylinder by",F α d²,F α d,F α d⁻¹,D. F α d⁻²,A,,2020
Physics,WAEC,"In an electrical circuit, an inductor of inductance 0.5 H and resistance 50Ω is connected to an alternating current source of frequency 60 Hz. Calculate the impedance of the circuit",50.0Ω,150.5Ω,195.0Ω,1950.1Ω,C,,2020
Physics,NECO,"In an electrical circuit, an inductor of inductance 0.5 H and resistance 50Ω is connected to an alternating current source of frequency 60 Hz. Calculate the impedance of the circuit",50.0Ω,150.5Ω,195.0Ω,1950.1Ω,C,,2020
Physics,WAEC,Which of the following statements correctly explains why a total solar eclipse would be seen by people on only a small portion of the earth's surface?,The moon is larger in diameter than the earth,The earth is larger in diameter than the sun,The earth revolves around the sun,The earth is larger in diameter than the moon,D,,2020
Physics,NECO,Which of the following statements correctly explains why a total solar eclipse would be seen by people on only a small portion of the earth's surface?,The moon is larger in diameter than the earth,The earth is larger in diameter than the sun,The earth revolves around the sun,The earth is larger in diameter than the moon,D,,2020
Physics,WAEC,"Water waves have a wavelength of 3.6 cm and speed of 18 cm s⁻¹ in deep water. If the waves enter a shallower water with wavelength of 2.0 cm, calculate the speed of the waves in shallow water",0.4 cm s⁻¹,2.5 cm s⁻¹,10.0 cm s⁻¹,10.8 cm s⁻¹,B,,2020
Physics,NECO,"Water waves have a wavelength of 3.6 cm and speed of 18 cm s⁻¹ in deep water. If the waves enter a shallower water with wavelength of 2.0 cm, calculate the speed of the waves in shallow water",0.4 cm s⁻¹,2.5 cm s⁻¹,10.0 cm s⁻¹,10.8 cm s⁻¹,B,,2020
Physics,WAEC,An a.c. generator can be converted to a d.c. electric motor by replacing,the a.c. slip rings with a split ring and connecting a battery,split ring and connecting a battery,a.c. with d.c. source and connecting slip rings,a.c. with d.c. source and connecting split rings,D,,2020
Physics,NECO,An a.c. generator can be converted to a d.c. electric motor by replacing,the a.c. slip rings with a split ring and connecting a battery,split ring and connecting a battery,a.c. with d.c. source and connecting slip rings,a.c. with d.c. source and connecting split rings,D,,2020
Physics,WAEC,A ray of light travels obliquely from a less dense medium to a denser medium. Which statements are true about the light?,The wavelength of the light increases in the second medium,The speed of light increases in the second medium,The light refracts towards the normal,D. There is a change in the frequency of the light,C,,2020
Physics,NECO,A ray of light travels obliquely from a less dense medium to a denser medium. Which statements are true about the light?,The wavelength of the light increases in the second medium,The speed of light increases in the second medium,The light refracts towards the normal,D. There is a change in the frequency of the light,C,,2020
Physics,WAEC,An electron of mass 9.1×10⁻³¹ kg travelling at a speed of 2.0×10⁸ ms⁻¹. Calculate the associated wavelength of the electron (h = 6.6×10⁻³⁴ Js),3.63×10⁻¹⁰ m,3.63×10⁻⁸ m,3.63×10⁻¹² m,6.89×10⁻⁴ m,C,,2020
Physics,NECO,An electron of mass 9.1×10⁻³¹ kg travelling at a speed of 2.0×10⁸ ms⁻¹. Calculate the associated wavelength of the electron (h = 6.6×10⁻³⁴ Js),3.63×10⁻¹⁰ m,3.63×10⁻⁸ m,3.63×10⁻¹² m,6.89×10⁻⁴ m,C,,2020
Physics,WAEC,Which statements about the process of melting of a solid are TRUE?,The temperature of the solid will remain steady until melting starts,It will keep rising until melting starts,Remain steady as melting proceeds,Keep rising as melting proceeds,A,,2020
Physics,NECO,Which statements about the process of melting of a solid are TRUE?,The temperature of the solid will remain steady until melting starts,It will keep rising until melting starts,Remain steady as melting proceeds,Keep rising as melting proceeds,A,,2020
Physics,WAEC,"A diver steps off a diving platform that is 10 m above the water. If there is no air resistance during the fall, there will be a decrease in the diver's",gravitational potential energy,total mechanical energy,kinetic energy,momentum,A,,2020
Physics,NECO,"A diver steps off a diving platform that is 10 m above the water. If there is no air resistance during the fall, there will be a decrease in the diver's",gravitational potential energy,total mechanical energy,kinetic energy,momentum,A,,2020
Physics,WAEC,Which of the following actions would increase the electric force between two positively charged particles?,Decreasing the mass of the particles,Decreasing the distance between the particles,Increasing the distance between the particles,Increasing the mass of the particles,B,,2020
Physics,NECO,Which of the following actions would increase the electric force between two positively charged particles?,Decreasing the mass of the particles,Decreasing the distance between the particles,Increasing the distance between the particles,Increasing the mass of the particles,B,,2020
Physics,WAEC,A luminous object is one that,gives off dim blue-green light only in the dark,gives out light of its own,shines by reflected light only,glows only in the presence of light,B,,2020
Physics,NECO,A luminous object is one that,gives off dim blue-green light only in the dark,gives out light of its own,shines by reflected light only,glows only in the presence of light,B,,2020
Physics,WAEC,Which of the following units is NOT fundamental?,Metre,Kilogram,Joule,Candela,C,,2020
Physics,NECO,Which of the following units is NOT fundamental?,Metre,Kilogram,Joule,Candela,C,,2020
Physics,WAEC,The vacuum between the double walls of a thermos flask reduces heat loss through,conduction and radiation,convection and conduction,radiation only,conduction only,C,,2020
Physics,NECO,The vacuum between the double walls of a thermos flask reduces heat loss through,conduction and radiation,convection and conduction,radiation only,conduction only,C,,2020
Physics,WAEC,"In photoelectric effect, the number of electrons emitted per second from a metallic surface is proportional to the",intensity of the incident radiation,frequency of the incident radiation,energy of the incident radiation,work function of the metal,A,,2020
Physics,NECO,"In photoelectric effect, the number of electrons emitted per second from a metallic surface is proportional to the",intensity of the incident radiation,frequency of the incident radiation,energy of the incident radiation,work function of the metal,A,,2020
Physics,WAEC,"When two cells of negligible internal resistances and equal e.m.f. denoted by E₁ and E₂ are connected in parallel, the combined e.m.f. E is given by",E = E₁ + E₂,1/E = 1/E₁ + 1/E₂,E = E₁ = E₂,E = E₁/E₂,C,,2020
Physics,NECO,"When two cells of negligible internal resistances and equal e.m.f. denoted by E₁ and E₂ are connected in parallel, the combined e.m.f. E is given by",E = E₁ + E₂,1/E = 1/E₁ + 1/E₂,E = E₁ = E₂,E = E₁/E₂,C,,2020
Physics,WAEC,Which of the following quantities is NOT an example of force?,Mass,Weight,Tension,Friction,A,,2021
Physics,NECO,Which of the following quantities is NOT an example of force?,Mass,Weight,Tension,Friction,A,,2021
Physics,WAEC,The reason for laminating the soft iron core of a transformer is to,reduce the eddy current,increase the only current,reduce the magnetic flux,reduce its efficiency,A,,2021
Physics,NECO,The reason for laminating the soft iron core of a transformer is to,reduce the eddy current,increase the only current,reduce the magnetic flux,reduce its efficiency,A,,2021
Physics,WAEC,Formation of hydrogen bubbles at the copper plate of a primary cell is called,polarization,back e.m.f,local action,electrolysis,A,,2021
Physics,NECO,Formation of hydrogen bubbles at the copper plate of a primary cell is called,polarization,back e.m.f,local action,electrolysis,A,,2021
Physics,WAEC,Which of the following factors does NOT affect the rate of evaporation of a liquid?,Temperature,Volume,Wind,Surface area,B,,2021
Physics,NECO,Which of the following factors does NOT affect the rate of evaporation of a liquid?,Temperature,Volume,Wind,Surface area,B,,2021
Physics,WAEC,The opening in the eye through which light passes is the,A. optic nerve,B. cornea,C. iris,D. pupil,D,,2021
Physics,NECO,The opening in the eye through which light passes is the,A. optic nerve,B. cornea,C. iris,D. pupil,D,,2021
Physics,WAEC,A heat sensitive resistor made of a semiconductor is called,A. thermistor,B. thermostat,C. thermometer,D. thermopile,A,,2021
Physics,NECO,A heat sensitive resistor made of a semiconductor is called,A. thermistor,B. thermostat,C. thermometer,D. thermopile,A,,2021
Physics,WAEC,Electric motor primarily converts,electrical energy to chemical energy,kinetic energy to potential energy,electrical energy to mechanical energy,electrical energy to heat energy,C,,2021
Physics,NECO,Electric motor primarily converts,electrical energy to chemical energy,kinetic energy to potential energy,electrical energy to mechanical energy,electrical energy to heat energy,C,,2021
Physics,WAEC,Which statements about the molecules of solids and liquids is correct?,They both have wide separations,They have wide separations,They exhibit random motion,They exhibit uniform motion,C,,2021
Physics,NECO,Which statements about the molecules of solids and liquids is correct?,They both have wide separations,They have wide separations,They exhibit random motion,They exhibit uniform motion,C,,2021
Physics,WAEC,The distance between a node and its adjacent antinode is equal to,½ of the wavelength,¼ of the wavelength,the wavelength,quarter of the wavelength,B,,2021
Physics,NECO,The distance between a node and its adjacent antinode is equal to,½ of the wavelength,¼ of the wavelength,the wavelength,quarter of the wavelength,B,,2021
Physics,WAEC,Which of the sketched graphs below illustrates the correct position of the gravitational force between two bodies and the distance between their centres?,Graph A,Graph B,Graph C,Graph D,B,,2021
Physics,NECO,Which of the sketched graphs below illustrates the correct position of the gravitational force between two bodies and the distance between their centres?,Graph A,Graph B,Graph C,Graph D,B,,2021
Physics,WAEC,Which of the following plates of a parallel plate capacitor increases the capacitance by: I. Increasing the area of the plates; II. Decreasing the area of the plates; III. Reducing the distance between the plates; IV. Avoiding the use of dielectric between the plates,I and II only,II and III only,C. I and III only,D. I and IV only,C,,2021
Physics,NECO,Which of the following plates of a parallel plate capacitor increases the capacitance by: I. Increasing the area of the plates; II. Decreasing the area of the plates; III. Reducing the distance between the plates; IV. Avoiding the use of dielectric between the plates,I and II only,II and III only,C. I and III only,D. I and IV only,C,,2021
Physics,WAEC,A metallic sphere is heated from an initial state. Which of the following changes in volume is illustrated by the diagram?,The density increases,Its volume decreases,Its density decreases,Its density increases,C,,2021
Physics,NECO,A metallic sphere is heated from an initial state. Which of the following changes in volume is illustrated by the diagram?,The density increases,Its volume decreases,Its density decreases,Its density increases,C,,2021
Physics,WAEC,The acceleration of a moving object can be determined from the,slope of the distance-time graph,slope of the distance-time graph,slope of the velocity-time graph,area under its velocity-time graph,C,,2021
Physics,NECO,The acceleration of a moving object can be determined from the,slope of the distance-time graph,slope of the distance-time graph,slope of the velocity-time graph,area under its velocity-time graph,C,,2021
Physics,WAEC,A student wishes to measure the potential difference across a resistor. She has a galvanometer and some connecting wires. What else does she need?,A high value resistor connected in parallel with G,low value resistor connected in parallel with G,low value resistor connected in series with G,high value resistor connected in series with G,D,,2021
Physics,NECO,A student wishes to measure the potential difference across a resistor. She has a galvanometer and some connecting wires. What else does she need?,A high value resistor connected in parallel with G,low value resistor connected in parallel with G,low value resistor connected in series with G,high value resistor connected in series with G,D,,2021
Physics,WAEC,The handle of a screw jack is 77 cm long and the pitch of the screw is 3.5 mm. What force must be applied at the end of the handle to lift a load of 55 kN if the efficiency of the jack is 50%?,A. 1252.5 N,B. 2505 N,C. 626.25 N,D. 250 N,B,,2021
Physics,NECO,The handle of a screw jack is 77 cm long and the pitch of the screw is 3.5 mm. What force must be applied at the end of the handle to lift a load of 55 kN if the efficiency of the jack is 50%?,A. 1252.5 N,B. 2505 N,C. 626.25 N,D. 250 N,B,,2021
Physics,WAEC,The diagram illustrates an illustration of a circuit in a capacitor A. The capacitance is 0.01 μF with 300V. A current of 2A passes through a wire of resistance 4 Ω for 5 minutes. Calculate the energy lost,A. 350 J,B. 600 J,C. 240 J,D. 2130 J,D,,2021
Physics,NECO,The diagram illustrates an illustration of a circuit in a capacitor A. The capacitance is 0.01 μF with 300V. A current of 2A passes through a wire of resistance 4 Ω for 5 minutes. Calculate the energy lost,A. 350 J,B. 600 J,C. 240 J,D. 2130 J,D,,2021
Physics,WAEC,The diagram shows a progressive wave moving from the left to the right. The period of the wave is t. Use the graph to answer questions 15 and 16. Determine the amplitude and wavelength,"A. 4 m, 5 m","B. 5 m, 4 m","C. 2 m, 5 m","D. 5 m, 2 m",A,,2021
